State(map=['w', 'b', '*', '*', '*', '*', '*', '*', 'b', '*', 'b', 'c', '*', 'b', 'w'], shappy_pos=11)     LEFT 
State(map=['w', 'b', '*', '*', '*', '*', '*', '*', 'b', '*', 'c', '*', '*', 'b', 'w'], shappy_pos=10)     LEFT 
State(map=['w', 'b', '*', '*', '*', '*', '*', '*', 'b', 'c', '*', '*', '*', 'b', 'w'], shappy_pos=9)     LEFT 
State(map=['w', 'b', '*', '*', '*', '*', '*', '*', 'c', '*', '*', '*', '*', 'b', 'w'], shappy_pos=8)     RIGHT 
State(map=['w', 'b', '*', '*', '*', '*', '*', 'c', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=7)     RIGHT 
State(map=['w', 'b', '*', '*', '*', '*', 'c', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=6)     RIGHT 
State(map=['w', 'b', '*', '*', '*', 'c', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=5)     LEFT 
State(map=['w', 'b', '*', '*', 'c', '*', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=4)     LEFT 
State(map=['w', 'b', '*', 'c', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=3)     LEFT 
State(map=['w', 'b', 'c', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=2)     LEFT 
State(map=['w', 'c', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=1)     LEFT 
State(map=['w', '*', 'c', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=2)     LEFT 
State(map=['w', '*', '*', 'c', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=3)     RIGHT 
State(map=['w', '*', '*', '*', 'c', '*', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=4)     LEFT 
State(map=['w', '*', '*', '*', '*', 'c', '*', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=5)     STAY 
State(map=['w', '*', '*', '*', '*', '*', 'c', '*', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=6)     STAY 
State(map=['w', '*', '*', '*', '*', '*', '*', 'c', '*', '*', '*', '*', '*', 'b', 'w'], shappy_pos=7)     LEFT 
State(map=['w', '*', '*', '*', '*', '*', '*', '*', 'c', '*', '*', '*', '*', 'b', 'w'], shappy_pos=8)     LEFT 
State(map=['w', '*', '*', '*', '*', '*', '*', '*', '*', 'c', '*', '*', '*', 'b', 'w'], shappy_pos=9)     RIGHT 
State(map=['w', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'c', '*', '*', 'b', 'w'], shappy_pos=10)     RIGHT 
State(map=['w', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'c', '*', 'b', 'w'], shappy_pos=11)     RIGHT 
State(map=['w', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'c', 'b', 'w'], shappy_pos=12)     RIGHT 
State(map=['w', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'c', 'w'], shappy_pos=13)     LEFT 
State(map=['w', 'b', '*', '*', '*', '*', '*', '*', 'b', '*', '*', 'c', '*', 'b', 'w'], shappy_pos=11)     LEFT 
State(map=['w', 'b', '*', '*', '*', '*', '*', '*', '*', 'c', '*', '*', '*', 'b', 'w'], shappy_pos=9)     RIGHT 
